GroupId,GroupName,VpcId,Description,OwnerId,InboundRulesCount,OutboundRulesCount,Tags
sg-01635930c2b55e2f3,launch-wizard-15,vpc-03780f3d8378d8b11,launch-wizard-15 created 2025-04-25T07:53:46.712Z,536458195478,1,1,
sg-09d646ff78c3411b4,launch-wizard-35,vpc-03780f3d8378d8b11,launch-wizard-35 created 2025-05-13T15:14:45.053Z,536458195478,1,1,
sg-027a118052cd41e5a,launch-wizard-32,vpc-03780f3d8378d8b11,launch-wizard-32 created 2025-05-13T05:56:58.460Z,536458195478,1,1,
sg-0bf37020bcef100ca,launch-wizard-2,vpc-03780f3d8378d8b11,launch-wizard-2 created 2025-04-22T10:15:54.155Z,536458195478,1,1,
sg-0601c8cebbbe9e114,launch-wizard-27,vpc-03780f3d8378d8b11,launch-wizard-27 created 2025-05-10T06:29:19.516Z,536458195478,1,1,
sg-02d9edff045d0a2fa,launch-wizard-21,vpc-03780f3d8378d8b11,launch-wizard-21 created 2025-05-05T15:42:21.095Z,536458195478,1,1,
sg-0f2271a5779aeb03c,launch-wizard-11,vpc-03780f3d8378d8b11,launch-wizard-11 created 2025-04-21T17:08:44.969Z,536458195478,1,1,
sg-047f356de7fe17ab6,launch-wizard-23,vpc-03780f3d8378d8b11,launch-wizard-23 created 2025-05-08T15:04:10.163Z,536458195478,1,1,
sg-05b98410a2025e8a8,launch-wizard-28,vpc-03780f3d8378d8b11,launch-wizard-28 created 2025-05-10T07:56:28.410Z,536458195478,1,1,
sg-062148a4d70ed1720,launch-wizard-8,vpc-03780f3d8378d8b11,launch-wizard-8 created 2025-04-21T10:27:38.332Z,536458195478,1,1,
sg-03704504397536fa0,launch-wizard-14,vpc-03780f3d8378d8b11,launch-wizard-14 created 2025-04-24T14:09:54.838Z,536458195478,1,1,
sg-0f09dcd02250d1f88,launch-wizard-13,vpc-03780f3d8378d8b11,launch-wizard-13 created 2025-04-23T15:55:40.428Z,536458195478,1,1,
sg-08986718d8dc3eb1b,launch-wizard-30,vpc-03780f3d8378d8b11,launch-wizard-30 created 2025-05-12T05:18:51.937Z,536458195478,1,1,
sg-0d1b533626173f6bd,launch-wizard-24,vpc-03780f3d8378d8b11,launch-wizard-24 created 2025-05-09T05:54:50.650Z,536458195478,1,1,
sg-05caa2cd3c92ccf02,launch-wizard-33,vpc-03780f3d8378d8b11,launch-wizard-33 created 2025-05-13T07:16:32.139Z,536458195478,1,1,
sg-05ab9f8fac7b33356,launch-wizard-1,vpc-03780f3d8378d8b11,launch-wizard-1 created 2025-04-17T06:10:38.021Z,536458195478,1,1,
sg-0156824142ff3110b,launch-wizard-22,vpc-03780f3d8378d8b11,launch-wizard-22 created 2025-05-06T07:01:45.401Z,536458195478,3,1,
sg-0dadb31287864b958,launch-wizard-12,vpc-03780f3d8378d8b11,launch-wizard-12 created 2025-04-22T09:38:50.683Z,536458195478,1,1,
